Zeruhn report   \xFD\x13\x02\x00\x01\xFD
oxblood key   \xFD\x13\x02\x04\x6F\xFD
sturdy metal strip    \xFD\x13\x02\x04\x70\xFD
piece of rugged tree bark   \xFD\x13\x02\x04\x71\xFD
savory lamb roast   \xFD\x13\x02\x04\x72\xFD
Orb of Swords   \xFD\x13\x02\x04\x73\xFD
Orb of Cups   \xFD\x13\x02\x04\x74\xFD
Orb of Batons   \xFD\x13\x02\x04\x75\xFD
Orb of Coins    \xFD\x13\x02\x04\x76\xFD
ripe starfruit    \xFD\x13\x02\x04\x77\xFD
moldy, worm-eaten chest   \xFD\x13\x02\x04\x78\xFD
stone of Surya    \xFD\x13\x02\x04\x79\xFD
stone of Chandra    \xFD\x13\x02\x04\x7A\xFD
stone of Mangala    \xFD\x13\x02\x04\x7B\xFD
stone of Budha    \xFD\x13\x02\x04\x7C\xFD
stone of Brihaspati   \xFD\x13\x02\x04\x7D\xFD
stone of Shukra   \xFD\x13\x02\x04\x7E\xFD
stone of Shani    \xFD\x13\x02\x04\x7F\xFD
stone of Rahu   \xFD\x13\x02\x04\x80\xFD
stone of Ketu   \xFD\x13\x02\x04\x81\xFD
Trivia Challenge Kupon    \xFD\x13\x02\x04\x82\xFD
Gauntlet Challenge Kupon    \xFD\x13\x02\x04\x83\xFD
Festival Souvenir Kupon   \xFD\x13\x02\x04\x84\xFD
pocket mogbomb    \xFD\x13\x02\x04\x85\xFD
Navaratna talisman    \xFD\x13\x02\x04\x86\xFD
Mega Bonanza Kupon    \xFD\x13\x02\x04\x87\xFD
aroma bug   \xFD\x13\x02\x04\x88\xFD
umbra bug   \xFD\x13\x02\x04\x89\xFD
north-bound petition    \xFD\x13\x02\x04\x8A\xFD
delicate wool thread    \xFD\x13\x02\x04\x8C\xFD
delicate linen thread   \xFD\x13\x02\x04\x8D\xFD
delicate cotton thread    \xFD\x13\x02\x04\x8E\xFD
enchanted wool thread   \xFD\x13\x02\x04\x8F\xFD
enchanted linen thread    \xFD\x13\x02\x04\x90\xFD
enchanted cotton thread   \xFD\x13\x02\x04\x91\xFD
succulent dragon fruit    \xFD\x13\x02\x04\x95\xFD
shard of optistone    \xFD\x13\x02\x04\x96\xFD
shard of aurastone    \xFD\x13\x02\x04\x97\xFD
shard of orastone   \xFD\x13\x02\x04\x98\xFD
prospector's pan    \xFD\x13\x02\x04\x99\xFD
corked ampoule    \xFD\x13\x02\x04\x9A\xFD
ampoule of gold dust    \xFD\x13\x02\x04\x9B\xFD
wax seal    \xFD\x13\x02\x04\x92\xFD
sack of victuals    \xFD\x13\x02\x04\x93\xFD
commander's endorsement   \xFD\x13\x02\x04\x94\xFD
vial of military prism powder   \xFD\x13\x02\x04\x9C\xFD
lance fish    \xFD\x13\x02\x04\x9D\xFD
paladin lobster   \xFD\x13\x02\x04\x9E\xFD
scutum crab   \xFD\x13\x02\x04\x9F\xFD
Moogle key    \xFD\x13\x02\x04\xA0\xFD
Bird key    \xFD\x13\x02\x04\xA1\xFD
Cactuar key   \xFD\x13\x02\x04\xA2\xFD
Bomb key    \xFD\x13\x02\x04\xA3\xFD
Chocobo key   \xFD\x13\x02\x04\xA4\xFD
Tonberry key    \xFD\x13\x02\x04\xA5\xFD
Behemoth key    \xFD\x13\x02\x04\xA6\xFD
Domina's scarlet seal   \xFD\x13\x02\x04\xA7\xFD
Domina's cerulean seal    \xFD\x13\x02\x04\xA8\xFD
Domina's emerald seal   \xFD\x13\x02\x04\xA9\xFD
Domina's amber seal   \xFD\x13\x02\x04\xAA\xFD
Domina's violet seal    \xFD\x13\x02\x04\xAB\xFD
Domina's azure seal   \xFD\x13\x02\x04\xAC\xFD
scarlet counterseal   \xFD\x13\x02\x04\xAD\xFD
cerulean counterseal    \xFD\x13\x02\x04\xAE\xFD
emerald counterseal   \xFD\x13\x02\x04\xAF\xFD
amber counterseal   \xFD\x13\x02\x04\xB0\xFD
violet counterseal    \xFD\x13\x02\x04\xB1\xFD
azure counterseal   \xFD\x13\x02\x04\xB2\xFD
black book    \xFD\x13\x02\x04\xB3\xFD
luminous red fragment   \xFD\x13\x02\x04\xB4\xFD
luminous beige fragment   \xFD\x13\x02\x04\xB5\xFD
luminous green fragment   \xFD\x13\x02\x04\xB6\xFD
luminous yellow fragment    \xFD\x13\x02\x04\xB7\xFD
luminous purple fragment    \xFD\x13\x02\x04\xB8\xFD
luminous blue fragment    \xFD\x13\x02\x04\xB9\xFD
fire sap crystal    \xFD\x13\x02\x04\xBA\xFD
water sap crystal   \xFD\x13\x02\x04\xBB\xFD
wind sap crystal    \xFD\x13\x02\x04\xBC\xFD
earth sap crystal   \xFD\x13\x02\x04\xBD\xFD
lightning sap crystal   \xFD\x13\x02\x04\xBE\xFD
ice sap crystal   \xFD\x13\x02\x04\xBF\xFD
light sap crystal   \xFD\x13\x02\x04\xC0\xFD
dark sap crystal    \xFD\x13\x02\x04\xC1\xFD
Tablet of Hexes: Greed    \xFD\x13\x02\x04\xC2\xFD
Tablet of Hexes: Envy   \xFD\x13\x02\x04\xC3\xFD
Tablet of Hexes: Malice   \xFD\x13\x02\x04\xC4\xFD
Tablet of Hexes: Deceit   \xFD\x13\x02\x04\xC5\xFD
Tablet of Hexes: Pride    \xFD\x13\x02\x04\xC6\xFD
Tablet of Hexes: Bale   \xFD\x13\x02\x04\xC7\xFD
Tablet of Hexes: Despair    \xFD\x13\x02\x04\xC8\xFD
Tablet of Hexes: Regret   \xFD\x13\x02\x04\xC9\xFD
Tablet of Hexes: Rage   \xFD\x13\x02\x04\xCA\xFD
Tablet of Hexes: Agony    \xFD\x13\x02\x04\xCB\xFD
Tablet of Hexes: Dolor    \xFD\x13\x02\x04\xCC\xFD
Tablet of Hexes: Rancor   \xFD\x13\x02\x04\xCD\xFD
Tablet of Hexes: Strife   \xFD\x13\x02\x04\xCE\xFD
Tablet of Hexes: Penury   \xFD\x13\x02\x04\xCF\xFD
Tablet of Hexes: Blight   \xFD\x13\x02\x04\xD0\xFD
Tablet of Hexes: Death    \xFD\x13\x02\x04\xD1\xFD
-Temporary Key Items    \xFD\x13\x02\x00\x00\xFD
Replay Debugger   \xFD\x13\x02\x03\x2B\xFD
Dynamis Debugger    \xFD\x13\x02\x01\x5B\xFD
All-You-Can-Ride Pass   \xFD\x13\x02\x02\x6B\xFD
airship pass    \xFD\x13\x02\x00\x08\xFD
airship pass for Kazham   \xFD\x13\x02\x00\x09\xFD
Yagudo torch    \xFD\x13\x02\x00\x14\xFD
crest of Davoi    \xFD\x13\x02\x00\x15\xFD
Adventurer's Certificate    \xFD\x13\x02\x00\x23\xFD
Starway Stairway bauble   \xFD\x13\x02\x00\x24\xFD
silver bell   \xFD\x13\x02\x00\x2D\xFD
coruscant rosary    \xFD\x13\x02\x00\x2E\xFD
black matinee necklace    \xFD\x13\x02\x00\x2F\xFD
archducal audience permit   \xFD\x13\x02\x00\x38\xFD
fake moustache    \xFD\x13\x02\x00\x5F\xFD
Angelica's autograph    \xFD\x13\x02\x00\x74\xFD
Tenshodo Member's Card    \xFD\x13\x02\x00\x76\xFD
crimson orb   \xFD\x13\x02\x00\x88\xFD
chocobo license   \xFD\x13\x02\x00\x8A\xFD
squire certificate    \xFD\x13\x02\x00\x8E\xFD
testimonial   \xFD\x13\x02\x00\xA9\xFD
portal charm    \xFD\x13\x02\x00\xC3\xFD
prismatic fragment    \xFD\x13\x02\x00\xF7\xFD
Rhinostery certificate    \xFD\x13\x02\x01\x0B\xFD
paintbrush of souls   \xFD\x13\x02\x01\x10\xFD
Tonberry key    \xFD\x13\x02\x01\x23\xFD
whisper of the Wyrmking   \xFD\x13\x02\x01\x69\xFD
cerulean crystal    \xFD\x13\x02\x01\xC4\xFD
Shard of Apathy   \xFD\x13\x02\x01\xC7\xFD
Shard of Arrogance    \xFD\x13\x02\x01\xC8\xFD
Shard of Cowardice    \xFD\x13\x02\x01\xC9\xFD
Shard of Envy   \xFD\x13\x02\x01\xCA\xFD
Shard of Rage   \xFD\x13\x02\x01\xCB\xFD
moongate pass   \xFD\x13\x02\x01\xE5\xFD
Hydra Corps Command Scepter   \xFD\x13\x02\x01\xE6\xFD
Hydra Corps Eyeglass    \xFD\x13\x02\x01\xE7\xFD
Hydra Corps Lantern   \xFD\x13\x02\x01\xE8\xFD
Hydra Corps Tactical Map    \xFD\x13\x02\x01\xE9\xFD
Hydra Corps Insignia    \xFD\x13\x02\x01\xEA\xFD
Hydra Corps Battle Standard   \xFD\x13\x02\x01\xEB\xFD
vial of shrouded sand   \xFD\x13\x02\x01\xEC\xFD
Ballista License    \xFD\x13\x02\x02\x40\xFD
reliquiarium key    \xFD\x13\x02\x02\x46\xFD
blue bracelet   \xFD\x13\x02\x02\x53\xFD
green bracelet    \xFD\x13\x02\x02\x54\xFD
Pso'Xja pass    \xFD\x13\x02\x02\x5C\xFD
limit breaker   \xFD\x13\x02\x02\x5E\xFD
Brand of Dawn   \xFD\x13\x02\x02\xC6\xFD
Brand of Twilight   \xFD\x13\x02\x02\xC7\xFD
Tear of Altana    \xFD\x13\x02\x02\xCC\xFD
jar of reversion dust   \xFD\x13\x02\x02\xD8\xFD
Dynamis - Valkurm sliver    \xFD\x13\x02\x02\xE3\xFD
Dynamis - Buburimu sliver   \xFD\x13\x02\x02\xE4\xFD
Dynamis - Qufim sliver    \xFD\x13\x02\x02\xE5\xFD
Dynamis - Tavnazia sliver   \xFD\x13\x02\x02\xE6\xFD
Dkhaaya's research journal    \xFD\x13\x02\x02\xFF\xFD
Mark of Zahak   \xFD\x13\x02\x03\x03\xFD
cast metal plate    \xFD\x13\x02\x03\x06\xFD
boarding permit   \xFD\x13\x02\x03\x0D\xFD
astral compass    \xFD\x13\x02\x03\x2C\xFD
Brand of the Springserpent    \xFD\x13\x02\x03\x3D\xFD
Brand of the Galeserpent    \xFD\x13\x02\x03\x3E\xFD
Brand of the Flameserpent   \xFD\x13\x02\x03\x3F\xFD
Brand of the Skyserpent   \xFD\x13\x02\x03\x40\xFD
Brand of the Stoneserpent   \xFD\x13\x02\x03\x41\xFD
prairie chocograph    \xFD\x13\x02\x03\x53\xFD
bush chocograph   \xFD\x13\x02\x03\x54\xFD
coastal chocograph    \xFD\x13\x02\x03\x58\xFD
dune chocograph   \xFD\x13\x02\x03\x59\xFD
jungle chocograph   \xFD\x13\x02\x03\x5A\xFD
desert chocograph   \xFD\x13\x02\x03\x5B\xFD
runic disc    \xFD\x13\x02\x03\x6F\xFD
runic key   \xFD\x13\x02\x03\x70\xFD
Gysahl Medal    \xFD\x13\x02\x03\x71\xFD
Mark of the Einherjar   \xFD\x13\x02\x03\x7B\xFD
Captain Wildcat badge   \xFD\x13\x02\x03\x8D\xFD
pure white feather    \xFD\x13\x02\x03\x8E\xFD
sliced pole   \xFD\x13\x02\x03\xB0\xFD
grimoire    \xFD\x13\x02\x03\xB2\xFD
Sakura racing badge   \xFD\x13\x02\x04\x00\xFD
Ponono's charm    \xFD\x13\x02\x04\x8B\xFD
Frog Fishing    \xFD\x13\x02\x07\xB8\xFD
Serpent Rumors    \xFD\x13\x02\x07\xB9\xFD
Mooching    \xFD\x13\x02\x07\xBA\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xBB\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xBC\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xBD\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xBE\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xBF\xFD
Wood Purification   \xFD\x13\x02\x07\xC0\xFD
Wood Ensorcellment    \xFD\x13\x02\x07\xC1\xFD
Lumberjack    \xFD\x13\x02\x07\xC2\xFD
Boltmaker   \xFD\x13\x02\x07\xC3\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xC4\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xC5\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xC6\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xC7\xFD
Metal Purification    \xFD\x13\x02\x07\xC8\xFD
Metal Ensorcellment   \xFD\x13\x02\x07\xC9\xFD
Chainwork   \xFD\x13\x02\x07\xCA\xFD
Sheeting    \xFD\x13\x02\x07\xCB\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xCC\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xCD\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xCE\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xCF\xFD
Gold Purification   \xFD\x13\x02\x07\xD0\xFD
Gold Ensorcellment    \xFD\x13\x02\x07\xD1\xFD
Clockmaking   \xFD\x13\x02\x07\xD2\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xD3\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xD4\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xD5\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xD6\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xD7\xFD
Cloth Purification    \xFD\x13\x02\x07\xD8\xFD
Cloth Ensorcellment   \xFD\x13\x02\x07\xD9\xFD
Spinning    \xFD\x13\x02\x07\xDA\xFD
Fletching   \xFD\x13\x02\x07\xDB\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xDC\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xDD\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xDE\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xDF\xFD
Leather Purification    \xFD\x13\x02\x07\xE0\xFD
Leather Ensorcellment   \xFD\x13\x02\x07\xE1\xFD
Tanning   \xFD\x13\x02\x07\xE2\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xE3\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xE4\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xE5\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xE6\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xE7\xFD
Bone Purification   \xFD\x13\x02\x07\xE8\xFD
Bone Ensorcellment    \xFD\x13\x02\x07\xE9\xFD
Filing    \xFD\x13\x02\x07\xEA\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xEB\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xEC\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xED\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xEE\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xEF\xFD
Anima Synthesis   \xFD\x13\x02\x07\xF0\xFD
Alchemic Purification   \xFD\x13\x02\x07\xF1\xFD
Alchemic Ensorcellment    \xFD\x13\x02\x07\xF2\xFD
Trituration   \xFD\x13\x02\x07\xF3\xFD
Concoction    \xFD\x13\x02\x07\xF4\xFD
Iatrochemistry    \xFD\x13\x02\x07\xF5\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xF6\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xF7\xFD
Raw Fish Handling   \xFD\x13\x02\x07\xF8\xFD
Noodle Kneading   \xFD\x13\x02\x07\xF9\xFD
Patissier   \xFD\x13\x02\x07\xFA\xFD
Stewpot Mastery   \xFD\x13\x02\x07\xFB\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xFC\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xFD\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xFE\xFD
Spiffy Synth.   \xFD\x13\x02\x07\xFF\xFD
Holla gate crystal    \xFD\x13\x02\x01\x60\xFD
Dem gate crystal    \xFD\x13\x02\x01\x61\xFD
Mea gate crystal    \xFD\x13\x02\x01\x62\xFD
Vahzl gate crystal    \xFD\x13\x02\x01\x63\xFD
Yhoator gate crystal    \xFD\x13\x02\x01\x64\xFD
Altepa gate crystal   \xFD\x13\x02\x01\x65\xFD
Jugner gate crystal   \xFD\x13\x02\x03\xC3\xFD
Pashhow gate crystal    \xFD\x13\x02\x03\xC4\xFD
Meriphataud gate crystal    \xFD\x13\x02\x03\xC5\xFD
"The Essence of Dance"    \xFD\x13\x02\x03\xC2\xFD
tattered Maze Monger pouch    \xFD\x13\x02\x01\x6D\xFD
Delkfutt key    \xFD\x13\x02\x04\x57\xFD
synergy crucible    \xFD\x13\x02\x04\xD2\xFD
-Permanent Key Items    \xFD\x13\x02\x00\x00\xFD
iron chainmail claim slip   \xFD\x13\x02\x07\x80\xFD
shade harness claim slip    \xFD\x13\x02\x07\x81\xFD
brass scale mail claim slip   \xFD\x13\x02\x07\x82\xFD
wool robe claim slip    \xFD\x13\x02\x07\x83\xFD
eisenplatte armor claim slip    \xFD\x13\x02\x07\x84\xFD
soil gi claim slip    \xFD\x13\x02\x07\x85\xFD
seer's tunic claim slip   \xFD\x13\x02\x07\x86\xFD
studded armor claim slip    \xFD\x13\x02\x07\x87\xFD
centurion's scale mail claim slip   \xFD\x13\x02\x07\x88\xFD
mrc.cpt. doublet claim slip   \xFD\x13\x02\x07\x89\xFD
garish tunic claim slip   \xFD\x13\x02\x07\x8A\xFD
noct doublet claim slip   \xFD\x13\x02\x07\x8B\xFD
custom armor (♂) claim slip   \xFD\x13\x02\x07\x8C\xFD
custom armor (♀) claim slip   \xFD\x13\x02\x07\x8D\xFD
magna armor (♂) claim slip    \xFD\x13\x02\x07\x8E\xFD
magna armor (♀) claim slip    \xFD\x13\x02\x07\x8F\xFD
wonder armor claim slip   \xFD\x13\x02\x07\x90\xFD
savage armor claim slip   \xFD\x13\x02\x07\x91\xFD
elder armor claim slip    \xFD\x13\x02\x07\x92\xFD
linen cloak claim slip    \xFD\x13\x02\x07\x93\xFD
padded armor claim slip   \xFD\x13\x02\x07\x94\xFD
silver chainmail claim slip   \xFD\x13\x02\x07\x95\xFD
gambison claim slip   \xFD\x13\x02\x07\x96\xFD
iron scale armor claim slip   \xFD\x13\x02\x07\x97\xFD
cuir armor claim slip   \xFD\x13\x02\x07\x98\xFD
velvet robe claim slip    \xFD\x13\x02\x07\x99\xFD
opaline dress claim slip    \xFD\x13\x02\x07\x9A\xFD
ryl.sqr. chainmail claim slip   \xFD\x13\x02\x07\x9B\xFD
plate armor claim slip    \xFD\x13\x02\x07\x9C\xFD
combat caster's cloak claim slip    \xFD\x13\x02\x07\x9D\xFD
alumine haubert claim slip    \xFD\x13\x02\x07\x9E\xFD
carapace harness claim slip   \xFD\x13\x02\x07\x9F\xFD
banded mail claim slip    \xFD\x13\x02\x07\xA0\xFD
hara-ate claim slip   \xFD\x13\x02\x07\xA1\xFD
raptor armor claim slip   \xFD\x13\x02\x07\xA2\xFD
steel scale armor claim slip    \xFD\x13\x02\x07\xA3\xFD
wool gambison claim slip    \xFD\x13\x02\x07\xA4\xFD
shinobi gi claim slip   \xFD\x13\x02\x07\xA5\xFD
mythril plate armor claim slip    \xFD\x13\x02\x07\xAA\xFD
irn.msk. cuirass claim slip   \xFD\x13\x02\x07\xA6\xFD
tct.mgc. cloak claim slip   \xFD\x13\x02\x07\xA7\xFD
white cloak claim slip    \xFD\x13\x02\x07\xA8\xFD
austere robe claim slip   \xFD\x13\x02\x07\xA9\xFD
crow jupon claim slip   \xFD\x13\x02\x07\xAB\xFD
fighter's armor claim slip    \xFD\x13\x02\x02\x8E\xFD
temple attire claim slip    \xFD\x13\x02\x02\x8F\xFD
healer's attire claim slip    \xFD\x13\x02\x02\x90\xFD
wizard's attire claim slip    \xFD\x13\x02\x02\x91\xFD
warlock's armor claim slip    \xFD\x13\x02\x02\x92\xFD
rogue's attire claim slip   \xFD\x13\x02\x02\x93\xFD
gallant armor claim slip    \xFD\x13\x02\x02\x94\xFD
chaos armor claim slip    \xFD\x13\x02\x02\x95\xFD
beast armor claim slip    \xFD\x13\x02\x02\x96\xFD
choral attire claim slip    \xFD\x13\x02\x02\x97\xFD
hunter's attire claim slip    \xFD\x13\x02\x02\x98\xFD
myochin armor claim slip    \xFD\x13\x02\x02\x99\xFD
ninja's garb claim slip   \xFD\x13\x02\x02\x9A\xFD
drachen armor claim slip    \xFD\x13\x02\x02\x9B\xFD
evoker's attire claim slip    \xFD\x13\x02\x02\x9C\xFD
magus attire claim slip   \xFD\x13\x02\x07\xAC\xFD
corsair's attire claim slip   \xFD\x13\x02\x07\xAD\xFD
puppetry attire claim slip    \xFD\x13\x02\x07\xAE\xFD
dancer's attire claim slip    \xFD\x13\x02\x07\xAF\xFD
dancer's attire claim slip    \xFD\x13\x02\x07\xB0\xFD
scholar's attire claim slip   \xFD\x13\x02\x07\xB1\xFD
Amir armor claim slip   \xFD\x13\x02\x07\xB2\xFD
Pahluwan armor claim slip   \xFD\x13\x02\x07\xB3\xFD
Yigit armor claim slip    \xFD\x13\x02\x07\xB4\xFD
warrior's armor claim slip    \xFD\x13\x02\x03\x5D\xFD
melee attire claim slip   \xFD\x13\x02\x03\x5E\xFD
cleric's attire claim slip    \xFD\x13\x02\x03\x5F\xFD
sorcerer's attire claim slip    \xFD\x13\x02\x03\x60\xFD
duelist's armor claim slip    \xFD\x13\x02\x03\x61\xFD
assassin's attire claim slip    \xFD\x13\x02\x03\x62\xFD
valor armor claim slip    \xFD\x13\x02\x03\x63\xFD
abyss armor claim slip    \xFD\x13\x02\x03\x64\xFD
monster armor claim slip    \xFD\x13\x02\x03\x65\xFD
bard's attire claim slip    \xFD\x13\x02\x03\x66\xFD
scout's attire claim slip   \xFD\x13\x02\x03\x67\xFD
saotome armor claim slip    \xFD\x13\x02\x03\x68\xFD
koga garb claim slip    \xFD\x13\x02\x03\x69\xFD
wyrm armor claim slip   \xFD\x13\x02\x03\x6A\xFD
summoner's attire claim slip    \xFD\x13\x02\x03\x6B\xFD
mirage attire claim slip    \xFD\x13\x02\x04\x1E\xFD
commodore attire claim slip   \xFD\x13\x02\x04\x1F\xFD
pantin attire claim slip    \xFD\x13\x02\x04\x20\xFD
etoile attire claim slip    \xFD\x13\x02\x04\x21\xFD
argute attire claim slip    \xFD\x13\x02\x04\x22\xFD
argent attire claim slip    \xFD\x13\x02\x04\x23\xFD
-Claim Slips    \xFD\x13\x02\x00\x00\xFD
map of the San d'Oria area    \xFD\x13\x02\x01\x81\xFD
map of the Bastok area    \xFD\x13\x02\x01\x82\xFD
map of the Windurst area    \xFD\x13\x02\x01\x83\xFD
map of the Jeuno area   \xFD\x13\x02\x01\x84\xFD
map of Qufim Island   \xFD\x13\x02\x01\x85\xFD
map of the Northlands area    \xFD\x13\x02\x01\x86\xFD
map of King Ranperre's Tomb   \xFD\x13\x02\x01\x87\xFD
map of the Dangruf Wadi   \xFD\x13\x02\x01\x88\xFD
map of the Horutoto Ruins   \xFD\x13\x02\x01\x89\xFD
map of Bostaunieux Oubliette    \xFD\x13\x02\x01\x8A\xFD
map of the Zeruhn Mines   \xFD\x13\x02\x01\x8B\xFD
map of the Toraimarai Canal   \xFD\x13\x02\x01\x8C\xFD
map of Ordelle's Caves    \xFD\x13\x02\x01\x8D\xFD
map of the Gusgen Mines   \xFD\x13\x02\x01\x8E\xFD
map of the Maze of Shakhrami    \xFD\x13\x02\x01\x8F\xFD
map of the Eldieme Necropolis   \xFD\x13\x02\x01\x90\xFD
map of the Crawlers' Nest   \xFD\x13\x02\x01\x91\xFD
map of the Garlaige Citadel   \xFD\x13\x02\x01\x92\xFD
map of the Ranguemont Pass    \xFD\x13\x02\x01\x93\xFD
map of Ghelsba    \xFD\x13\x02\x01\x94\xFD
map of Davoi    \xFD\x13\x02\x01\x95\xFD
map of the Palborough Mines   \xFD\x13\x02\x01\x96\xFD
map of Beadeaux   \xFD\x13\x02\x01\x97\xFD
map of Giddeus    \xFD\x13\x02\x01\x98\xFD
map of Castle Oztroja   \xFD\x13\x02\x01\x99\xFD
map of Delkfutt's Tower   \xFD\x13\x02\x01\x9A\xFD
map of Fei'Yin    \xFD\x13\x02\x01\x9B\xFD
map of Castle Zvahl   \xFD\x13\x02\x01\x9C\xFD
map of the Elshimo regions    \xFD\x13\x02\x01\x9D\xFD
map of the Kuzotz region    \xFD\x13\x02\x01\x9E\xFD
map of the Li'Telor region    \xFD\x13\x02\x01\x9F\xFD
map of the Ru'Aun Gardens   \xFD\x13\x02\x01\xA0\xFD
map of Norg   \xFD\x13\x02\x01\xA1\xFD
map of the Temple of Uggalepih    \xFD\x13\x02\x01\xA2\xFD
map of the Den of Rancor    \xFD\x13\x02\x01\xA3\xFD
map of the Korroloka Tunnel   \xFD\x13\x02\x01\xA4\xFD
map of the Kuftal Tunnel    \xFD\x13\x02\x01\xA5\xFD
map of the Boyahda Tree   \xFD\x13\x02\x01\xA6\xFD
map of the Ve'Lugannon Palace   \xFD\x13\x02\x01\xA7\xFD
map of Ifrit's Cauldron   \xFD\x13\x02\x01\xA8\xFD
map of the Quicksand Caves    \xFD\x13\x02\x01\xA9\xFD
map of the Sea Serpent Grotto   \xFD\x13\x02\x01\xAA\xFD
map of the Vollbow region   \xFD\x13\x02\x01\xAB\xFD
map of the Labyrinth of Onzozo    \xFD\x13\x02\x01\xAC\xFD
map of Carpenters' Landing    \xFD\x13\x02\x01\xAD\xFD
map of Bibiki Bay   \xFD\x13\x02\x01\xAE\xFD
map of the Uleguerand Range   \xFD\x13\x02\x01\xAF\xFD
map of the Attohwa Chasm    \xFD\x13\x02\x01\xB0\xFD
map of Pso'Xja    \xFD\x13\x02\x01\xB1\xFD
map of Oldton Movalpolos    \xFD\x13\x02\x01\xB2\xFD
map of Newton Movalpolos    \xFD\x13\x02\x01\xB3\xFD
map of Promyvion - Holla    \xFD\x13\x02\x01\xB4\xFD
map of Promyvion - Dem    \xFD\x13\x02\x01\xB5\xFD
map of Promyvion - Mea    \xFD\x13\x02\x01\xB6\xFD
map of Promyvion - Vahzl    \xFD\x13\x02\x01\xB7\xFD
map of Tavnazia   \xFD\x13\x02\x01\xB8\xFD
map of the Aqueducts    \xFD\x13\x02\x01\xB9\xFD
map of the Sacrarium    \xFD\x13\x02\x01\xBA\xFD
map of Cape Riverne   \xFD\x13\x02\x01\xBB\xFD
map of Al'Taieu   \xFD\x13\x02\x01\xBC\xFD
map of Hu'Xzoi    \xFD\x13\x02\x01\xBD\xFD
map of Ru'Hmet    \xFD\x13\x02\x01\xBE\xFD
map of Dio. Abdhaljs-Ghelsba    \xFD\x13\x02\x01\xBF\xFD
map of Abdh. Isle-Purgonorgo    \xFD\x13\x02\x01\x7F\xFD
map of Al Zahbi   \xFD\x13\x02\x07\x40\xFD
map of Nashmau    \xFD\x13\x02\x07\x41\xFD
map of Wajaom Woodlands   \xFD\x13\x02\x07\x42\xFD
map of Caedarva Mire    \xFD\x13\x02\x07\x43\xFD
map of Mount Zhayolm    \xFD\x13\x02\x07\x44\xFD
map of Aydeewa Subterrane   \xFD\x13\x02\x07\x45\xFD
map of Mamook   \xFD\x13\x02\x07\x46\xFD
map of Halvung    \xFD\x13\x02\x07\x47\xFD
map of Arrapago Reef    \xFD\x13\x02\x07\x48\xFD
map of Alzadaal Ruins   \xFD\x13\x02\x07\x49\xFD
map of Leujaoam Sanctum   \xFD\x13\x02\x07\x4A\xFD
map of the Training Grounds   \xFD\x13\x02\x07\x4B\xFD
map of Lebros Cavern    \xFD\x13\x02\x07\x4C\xFD
map of Ilrusi Atoll   \xFD\x13\x02\x07\x4D\xFD
map of Periqia    \xFD\x13\x02\x07\x4E\xFD
map of Nyzul Isle   \xFD\x13\x02\x07\x4F\xFD
map of the Chocobo Circuit    \xFD\x13\x02\x07\x50\xFD
map of the Colosseum    \xFD\x13\x02\x07\x51\xFD
map of Bhaflau Thickets   \xFD\x13\x02\x07\x52\xFD
map of Zhayolm Remnants   \xFD\x13\x02\x07\x53\xFD
map of Arrapago Remnants    \xFD\x13\x02\x07\x54\xFD
map of Bhaflau Remnants   \xFD\x13\x02\x07\x55\xFD
